,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
111,(N) 1-STORY ACCESSORY DWELLING UNIT PER AB494 & SB229 PER WFPP,2019-03-13,100000.0,950.0,,1.0,R1-1-RIO,2130003005,2130003005,Residential,Single Family Residence,2009-09-24,3.0,2.0,1,"347,135.00"
112,"NEW 34'-0"" X 27'-9"" IRREGULAR SHAPE ACCESSORY DWELLING UNIT WITH ATTAC",2019-09-18,80000.0,684.0,,1.0,R1-1,2337004022,2337004022,Residential,Single Family Residence,1988-05-12,3.0,2.0,1,"126,081.00"
113,CONVERT THE (E) ATTACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER,2019-02-22,20000.0,361.0,0.0,,RS-1-O,2648020020,2648020020,Residential,Single Family Residence,2009-11-20,4.0,2.0,1,"328,044.00"
114,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB494 AND SB229,2018-06-08,20000.0,303.0,,0.0,R1R3-RG-O,5069009024,5069009024,Residential,Single Family Residence,2010-06-30,2.0,2.0,1,"711,642.00"
115,"NEW 48'0""X25'0"" ADU PER AB 494 AND SB 229. ALL WORK PER WFPP. ""COMPLY",2019-11-26,130000.0,1200.0,,1.0,R1-1,2118024004,2118024004,Residential,Single Family Residence,2017-01-27,2.0,1.0,1,"364,284.00"
116,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB494 & SB 229.,2019-11-01,25000.0,1549.0,0.0,,R1-1,2627022002,2627022002,Residential,Single Family Residence,2011-12-07,3.0,2.0,1,"337,788.00"
117,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 16,2017-04-25,20000.0,,1.0,,R1-1,2332011013,2332011013,Residential,Single Family Residence,2016-02-12,4.0,2.0,1,"721,620.00"
118,"Convert existing attached garage to ADU per AB 494 and SB 229, and add",2019-04-25,30000.0,2155.0,0.0,1.0,R1-1,5033020011,5033020011,Residential,Single Family Residence,2018-09-28,3.0,2.0,1,"770,000.00"
119,"14'3"" x 22'6""addition and convert (E) Garage to Accessory Dwelling Uni",2018-03-07,60000.0,559.29,,1.0,R1-1,5090007003,5090007003,Residential,Single Family Residence,2003-03-24,3.0,1.0,1,"593,983.00"
120,CONVERTING EXISTING DETACHED GARAGE TO NEW ACCESSORY DWELLING UNIT PER,2017-03-30,15000.0,340.0,1.0,1.0,R1-1,4009012022,4009012022,Residential,Single Family Residence,2018-01-05,2.0,1.0,1,"601,800.00"
121,NEW (27' X 40') ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069 PER WF,2018-07-10,106000.0,1080.0,,1.0,R1-1,2119011017,2119011017,Residential,Single Family Residence,2018-08-03,3.0,2.0,1,"417,584.00"
122,CONVERT EX DETACHED REC RM/STORAGE BUILDING INTO ACCESSORY DWELLING UN,2020-05-15,20000.0,441.0,0.0,0.0,RS-1,2660018032,2660018032,Residential,Single Family Residence,2006-11-14,3.0,2.0,1,"600,000.00"
123,"CONVERT 19'11"" X 19'11"" GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299",2017-03-23,18000.0,397.0,1.0,1.0,R1-1-RIO,2129017032,2129017032,Residential,Single Family Residence,2014-07-31,3.0,2.0,1,"430,954.00"
124,"CONVERT (E) 19'-6"" X 20'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2018-11-26,20000.0,400.0,0.0,0.0,R1-1,2104014002,2104014002,Residential,Single Family Residence,2017-05-17,3.0,2.0,1,"520,199.00"
125,ADD 18' X 27.5' TO DETACHED GARAGE AND CONVERT TO ACCESSORY DWELLING U,2019-05-24,70000.0,751.0,,1.0,R1-1,2334010030,2334010030,Residential,Single Family Residence,2018-05-18,2.0,2.0,1,"207,531.00"
126,CONVERSION OF EXISTING GARAGE TO DETACHED ACCESSORY DWELLING UNIT PER,2020-05-14,24000.0,322.0,,,RE15-1-H,4352001005,4352001005,Residential,Single Family Residence,2018-10-24,2.0,2.0,1,"1,462,000.00"
127,CONVERT DETACHED STORAGE ROOM TO ACCESSORY DWELLING UNIT  PER AB 494 A,2019-11-27,25000.0,440.0,,0.0,RE9-1-HPOZ,5507018028,5507018028,Residential,Single Family Residence,2017-09-12,3.0,3.0,1,"3,315,000.00"
128,NEW IRREGULAR SHAPE  31.5' X 25.5' ACCESSORY DWELLING UNIT ATTACHED TO,2019-11-27,66000.0,495.0,,1.0,R1-1-O,5082004013,5082004013,Residential,Single Family Residence,2017-08-18,2.0,1.0,1,"703,697.00"
129,CONVERT EXISTING GARAGE INTO ACCESSORY DWELLING UNIT AND PORTION FOR S,2018-05-14,30000.0,499.0,,1.0,RD1.5-1XL,5433003004,5433003004,Residential,Single Family Residence,2015-09-03,4.0,3.0,1,"1,034,677.00"
130,"NEW 17'-0"" X 16'-1"" DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB",2019-08-27,25000.0,241.0,,1.0,R1-1,2264018014,2264018014,Residential,Single Family Residence,2018-06-01,2.0,2.0,1,"892,500.00"
131,1) CONVERTING EXISTING GARAGE TO ADU PER AB 494 & SB 229   1 OF 2,2019-08-15,25760.0,560.0,,1.0,R1-1-HPOZ,5071001020,5071001020,Residential,Single Family Residence,2011-01-11,5.0,3.0,1,"275,000.00"
132,"(N) DET 28'10"" x 17'3""ADU PER AB 494 & SB229",2019-11-25,50000.0,460.0,,1.0,R1-1,4223015024,4223015024,Residential,Single Family Residence,2010-02-26,2.0,1.0,1,"242,345.00"
133,"CONVERT (E) 18'8"" X 20'7"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING UN",2019-08-15,20000.0,420.0,0.0,0.0,R1-1,2106029023,2106029023,Residential,Single Family Residence,2013-03-29,3.0,3.0,1,"505,031.00"
134,NEW 17' X 25' ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-08-15,41000.0,403.42,,1.0,R1-1,2324008014,2324008014,Residential,Single Family Residence,1997-10-09,4.0,2.0,1,"196,443.00"
135,ADDITION AND CONVERSION OF  GARAGE/ STORAGE TO ACCESSORY DWELLING UNIT,2020-05-11,54000.0,846.0,,0.0,R1-1,2558040039,2558040039,Residential,Single Family Residence,2014-11-13,2.0,1.0,1,"350,490.00"
136,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-11-18,30000.0,436.0,,,RD1.5-1,2414019023,2414019023,Residential,Single Family Residence,2017-06-29,2.0,1.0,1,"379,643.00"
137,"New irregular shape 30'4"" x 18'7"" detached accessory dwelling unit per",2019-08-14,50000.0,438.0,,1.0,RA-1-K,2529020033,2529020033,Residential,Single Family Residence,2018-12-11,2.0,1.0,1,"613,000.00"
138,CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB 494  AND SB 229  AND,2019-06-21,81000.0,663.0,,1.0,R1-1,5006032006,5006032006,Residential,Single Family Residence,2003-08-29,2.0,1.0,1,"189,579.00"
139,Addition and conversionto of existing garage to Accessory Dwelling Uni,2019-01-04,37000.0,734.0,0.0,1.0,R1-1XL-O-CUGU,7425014046,7425014046,Residential,Single Family Residence,2002-03-26,3.0,2.0,1,"267,498.00"
140,"CONVERT (18'-3"" X 20'-2"") (E) DET. GARAGE TO ACCESSORY DWELLING UNIT P",2019-08-14,20000.0,368.0,,0.0,R1-1,4114011007,4114011007,Residential,Single Family Residence,2015-09-29,3.0,2.0,1,"1,485,690.00"
141,PROPOSED (N) (31' X 41') DETACHED ACCESSORY DWELLING UNIT PER AB 494 A,2019-08-15,120000.0,1199.0,,1.0,RA-1-K,2544021027,2544021027,Residential,Single Family Residence,2014-05-08,0.0,0.0,0,"156,060.00"
142,NEW ACCESSORY DWELLING UNIT WITH ATTACHED 2-CAR GARAGE PER AB 494 & SB,2019-08-16,150000.0,628.3,,1.0,[Q]R1-1D,5215024007,5215024007,Residential,Single Family Residence,2003-12-15,3.0,1.0,1,"321,884.00"
143,New 31'-9''x 40'-0'' 1-story accessory dwelling unit per ab494 and sb2,2018-07-27,128000.0,1151.0,,1.0,R1-1XL-RFA,2695006007,2695006007,Residential,Single Family Residence,2018-06-05,2.0,2.0,1,"586,500.00"
144,"NEW 2 STORY ACCESSORY DWELLING UNIT W/ADJACENT COVERED PATIO/TRELLIS,",2020-05-13,125000.0,564.0,,2.0,R1-1VL,5429028008,5429028008,Residential,Single Family Residence,2018-10-10,3.0,1.0,1,"315,466.00"
145,CONVERT THE (E) 20'X20' GARAGE INTO A (N) ACCESSORY DWELLING UNITS PER,2019-02-20,20000.0,400.0,0.0,,RS-1,2026003012,2026003012,Residential,Single Family Residence,2017-02-27,3.0,2.0,1,"579,502.00"
146,"CONVERT (E) 20'-3"" X 18'-3"" GARAGE TO AN ACCESSORY DWELLING UNIT (ADU)",2018-06-25,30000.0,369.0,,1.0,R1-1,2210015011,2210015011,Residential,Single Family Residence,2018-04-02,3.0,2.0,1,"457,980.00"
147,"NEW 29'-6"" X 20'  (1) STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB",2019-08-16,65000.0,590.0,,1.0,R1-1,5022014016,5022014016,Residential,Single Family Residence,2009-04-24,4.0,2.0,1,"288,591.00"
148,"CONVERT (E) 17'-6"" X 20'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-16,15000.0,332.0,0.0,0.0,R1-1,2101005004,2101005004,Residential,Single Family Residence,1991-03-12,4.0,2.0,1,"277,090.00"
149,ADD 40'X24' IRREGULAR SHAPED ACCESSORY DWELLING UNIT  PER AB 494 AND S,2018-08-14,91304.0,904.0,,1.0,R1-1,2121010009,2121010009,Residential,Single Family Residence,2009-02-11,3.0,2.0,1,"103,020.00"
150,"CONVERT (E) 22'-6"" X 26'-2"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-01-23,27000.0,541.0,,0.0,R1-1,2219003012,2219003012,Residential,Single Family Residence,2018-12-21,2.0,2.0,1,"546,000.00"
151,NEW SINGLE FAMILY HOUSE  W/ AN ATTACHED ACCESSORY DWELLING UNIT  PER A,2020-05-11,220000.0,1332.0,1.0,2.0,[Q]R1-1D,5305022019,5305022019,Residential,Single Family Residence,2018-08-13,0.0,0.0,0,"31,000.00"
152,Convert attached garage to accessory dwelling unit per AB494 & SB229,2019-05-08,16000.0,1618.0,0.0,1.0,R1-1,2226006005,2226006005,Residential,Single Family Residence,2000-06-20,3.0,2.0,1,"247,991.00"
153,CONVERT (E) DETACHED GARAGE AND STORAGE ROOM TO ACCESSORY DWELLING UNI,2018-08-30,23000.0,499.0,,1.0,R1-1-RIO,2365018017,2365018017,Residential,Single Family Residence,2018-07-02,4.0,3.0,1,"1,100,000.00"
154,"CONVERT (E) 18'-3"" X 19'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-16,15272.0,332.0,,1.0,R1-1,2338017018,2338017018,Residential,Single Family Residence,2016-11-30,3.0,2.0,1,"54,225.00"
155,CONVERSION OF AN (E) ATTACHED GARAGE INTO AN ADU PER AB494 AND SB229.,2019-11-25,25000.0,360.0,,0.0,R1-1,2216003026,2216003026,Residential,Single Family Residence,2003-07-22,4.0,2.0,1,"225,892.00"
156,CONVERTING EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PE,2019-02-21,20000.0,533.0,,0.0,R1-1VL-RIO,5445027052,5445027052,Residential,Single Family Residence,2018-08-01,3.0,2.0,1,"930,000.00"
157,"CONVERT 20'-11"" X 23'-1"" ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT P",2019-07-09,25000.0,1647.0,0.0,1.0,R1-1,2512012027,2512012027,Residential,Single Family Residence,2012-02-07,3.0,2.0,1,"228,568.00"
158,CONVERT EXISTING 1-STORY GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2018-08-21,15000.0,475.0,,0.0,R2-1XL,5051032023,5051032023,Residential,Single Family Residence,2005-01-20,3.0,2.0,1,"543,550.00"
159,NEW DETACHED 1-STORY ACCESSORY DWELLING UNIT AT REAR PER AB 494 AND SB,2019-08-13,65000.0,648.0,,1.0,R1-1,2213018001,2213018001,Residential,Single Family Residence,2014-01-02,3.0,2.0,1,"357,144.00"
160,CONVERT DETACHED RECREATION  ROOM TO ACCESSORY DWELLING UNIT PER AB 49,2019-05-02,10000.0,,,,R1-1,2040023017,2040023017,Residential,Single Family Residence,2018-10-31,3.0,2.0,1,"635,000.00"
161,new detached accessory dwelling unit,2020-05-15,200000.0,717.0,,1.0,RS-1-O,4404023012,4404023012,Residential,Single Family Residence,2017-10-17,3.0,4.0,1,"4,442,100.00"
162,GARAGE CONVERSION AND ADDITION TO ADU PER SB 229 AND AB 494.,2019-06-20,110000.0,1138.0,,1.0,R2-1,5016032008,5016032008,Residential,Single Family Residence,2018-08-01,2.0,1.0,1,"435,000.00"
163,"NEW 25'-9"" X 53'-6"" ACCESSORY DWELLING UNIT PER AB 494 & SB 229; EQUIP",2019-08-13,130000.0,1199.0,,1.0,RA-1,2204022016,2204022016,Residential,Single Family Residence,1976-01-19,2.0,1.0,1,"93,126.00"
164,"2-story accessory dwelling unit addition, per ab229 and sb494, to (e)",2020-05-13,150000.0,837.8,,2.0,R1V2,4247019002,4247019002,Residential,Single Family Residence,1986-03-06,2.0,2.0,1,"122,802.00"
165,"(N) 26'-6""x 46'-5"" DETACHED ACCESSORY DWELLING UNIT PER AB 494 & SB 22",2019-08-12,121000.0,1196.22,,1.0,R1-1-RIO,2271005025,,,,,,,,
166,"21'-11"" X 35'-6"" ACCESSORY DWELLING UNIT IRREGULAR ADDITION TO (E) SIN",2019-07-26,69000.0,2001.0,,1.0,R1-1,5016011022,5016011022,Residential,Single Family Residence,2018-11-16,3.0,1.0,1,"229,696.00"
167,CONVERT EXISTING 20' X 20' DETACHED GARAGE TO ACCESSORY DWELLING UNIT,2019-11-25,20000.0,361.0,,1.0,RE11-1,2218005023,2218005023,Residential,Single Family Residence,2018-08-10,2.0,2.0,1,"489,600.00"
168,PROPOSED REMODEL TO SFD AND CONVERSION OF 2ND STORY INTO ADU (915 SQFT,2019-03-06,30000.0,0.0,0.0,0.0,R1-1-RIO,5435007011,5435007011,Residential,Single Family Residence,2018-10-22,5.0,2.0,1,"1,100,000.00"
169,NEW 2-STORY ACCESSORY DWELLING UNIT (ADU) PER AB 494 & SB 229 IN REAR,2019-11-27,130000.0,1184.0,,2.0,R2-1-HPOZ,5054026008,5054026008,Residential,Single Family Residence,2011-03-07,6.0,3.0,1,"300,900.00"
170,CONVERT DETACHED RECREATION ROOM TO ACCESSORY DWELLING UNIT PER AB 494,2019-05-21,10000.0,452.0,,1.0,R1-1,5029003020,5029003020,Residential,Single Family Residence,2014-10-02,3.0,1.0,1,"63,020.00"
171,NEW 2-CAR GARAGE AT 1ST FLOOR & ACCESSORY DWELLING UNIT AT 2ND FLOOR P,2019-08-16,94233.0,702.0,,2.0,R1V2,4108022020,4108022020,Residential,Single Family Residence,2009-06-04,3.0,2.0,1,"415,093.00"
172,CONVERT EXISTING GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-08-12,25000.0,329.0,,1.0,R1-1-O,4321013039,4321013039,Residential,Single Family Residence,2018-08-03,3.0,2.0,1,"133,133.00"
173,CONVERT (E) ATTACHED GARAGE TO ADU PER SB1069  AND AB 2299,2017-07-19,20000.0,2334.8,,0.0,R1-1,4366026007,4366026007,Residential,Single Family Residence,2012-07-13,3.0,3.0,1,"1,152,915.00"
174,ADD 6.5' x 8.25' TO ATTACHED GARAGE AND CONVERT TO ACCESSORY DWELLING,2019-08-12,30000.0,1771.0,0.0,1.0,RS-1,2784012002,2784012002,Residential,Single Family Residence,2008-08-29,3.0,2.0,1,"375,173.00"
175,"CONVERT (E) 21'-4"" x 21'-5"" DET. GARAGE TO ACCESSORY DWELLING UNIT PER",2018-08-21,20000.0,415.0,,0.0,RS-1,2036025014,2036025014,Residential,Single Family Residence,2015-06-12,4.0,2.0,1,"511,756.00"
176,CONVERT (E) ATTACHED GARAGE AND PORTION OF SFD TO ACCESSORY DWELLING U,2019-08-16,20000.0,361.0,,0.0,RS-1,2662019006,2662019006,Residential,Single Family Residence,2017-11-15,4.0,2.0,1,"586,500.00"
177,Add 8.5' x 20' to detached garage and convert to accessory dwelling un,2019-08-16,35600.0,521.5,,1.0,RD1.5-1,2421012005,2421012005,Residential,Single Family Residence,2016-12-05,4.0,2.0,1,"457,114.00"
178,ADDITION AND CONVERSION OF (E) GARAGE INTO ADU PER AB494 AND SB229 AND,2018-12-18,30000.0,504.0,,1.0,RD2-1,6040023014,6040023014,Residential,Single Family Residence,2018-11-29,3.0,2.0,1,"355,000.00"
179,CONVERT (E) 18' X 20' ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2018-07-20,18000.0,360.0,0.0,0.0,R1-1,2101010020,2101010020,Residential,Single Family Residence,1990-12-28,4.0,2.0,1,"306,385.00"
180,NEW ADDITION TO (E) GARAGE AND  CONVERT TO ACCESSORY DWELLING UNIT PER,2019-10-11,40000.0,461.0,,0.0,R2-1,5107026008,5107026008,Residential,Single Family Residence,2009-06-19,2.0,1.0,1,"115,432.00"
181,(N) ADU PER AB494 & SB229 ****only DWP Clearance****,2019-02-07,33431.0,331.0,,1.0,R1-1,4322001007,4322001007,Residential,Single Family Residence,2006-04-04,2.0,1.0,1,"895,849.00"
182,"CONVERT (E) 18'6"" x  20'0"" GARAGE TO AN ACCESSORY DWELLING UNIT PER AB",2017-04-07,50000.0,638.0,1.0,0.0,R1-1-RIO,2130018021,2130018021,Residential,Single Family Residence,2002-03-15,3.0,2.0,1,"269,484.00"
183,CONVERT EXISTING GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB,2019-06-13,38000.0,301.0,,1.0,R2-1-O,5068019026,5068019026,Residential,Single Family Residence,2007-03-30,3.0,2.0,1,"883,935.00"
184,"31'-4 1/4"" X 36'-8"" (1) STORY ACCESSORY DWELLING UNIT PER AB 494 AND S",2018-08-03,120000.0,1150.0,,1.0,R1-1-CUGU,2633029004,2633029004,Residential,Single Family Residence,2018-03-13,2.0,1.0,1,"520,200.00"
185,NEW 38' x 20' ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069,2018-01-30,120000.0,760.0,,1.0,R1-1-RFA,2551026018,2551026018,Residential,Single Family Residence,2014-03-04,4.0,2.0,2,"482,862.00"
186,CONVERT GARAGE AND ACCESSORY LIVING QUARTERS TO AN ACCESSORY DWELLING,2017-09-14,26000.0,866.0,,,R1-1,5061001022,5061001022,Residential,Single Family Residence,2016-01-08,5.0,4.0,1,"1,189,569.00"
187,Convert existing garage into ADU. 30 sf of garage convert to storage p,2018-01-23,28500.0,269.0,,0.0,R2-1-O,5069020022,5069020022,Residential,Single Family Residence,2011-11-15,2.0,1.0,1,"561,210.00"
188,"NEW 2-STORY, (31.33' X 20') DETACHED ACCESSORY DWELLING UNIT (ADU) PER",2019-08-13,175000.0,1100.0,,2.0,RS-1,2106006007,2106006007,Residential,Single Family Residence,2013-09-26,3.0,2.0,1,"300,850.00"
189,"CONVERT (E) 19'-3"" X 20'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-12,20000.0,380.0,0.0,0.0,R1-1XL-RFA,2733010022,2733010022,Residential,Single Family Residence,2018-08-15,4.0,2.0,1,"520,682.00"
190,CONVERTING (E) ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 49,2019-11-25,100000.0,2266.0,0.0,1.0,R1-1-RIO,2250010019,2250010019,Residential,Single Family Residence,2016-12-16,3.0,1.0,1,"129,901.00"
191,CONVERT (E) DETACHED GARAGE AND RECREATION ROOM TO  ACCESSORY DWELLING,2018-03-02,20000.0,360.0,,0.0,R1-1,2238003004,2238003004,Residential,Single Family Residence,2007-02-06,4.0,2.0,1,"225,962.00"
192,CONVERT 2nd UNIT AND ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER A,2019-11-25,20000.0,1368.0,,,R1-1-CUGU,2310014015,2310014015,Residential,Single Family Residence,2003-08-26,3.0,3.0,1,"704,637.00"
193,PROPOSED CONVERSION OF DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER,2019-08-14,30000.0,493.0,,0.0,R1-1XL-O-CUGU,7417022014,7417022014,Residential,Single Family Residence,2018-08-17,3.0,1.0,1,"432,000.00"
194,CONVERT (E) 20' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2018-03-29,18000.0,400.0,,0.0,RS-1,2651017004,2651017004,Residential,Single Family Residence,1999-02-22,3.0,2.0,1,"214,206.00"
195,"CONVERT (E) 18'-0"" X 18'-0"" DETACHED CARPORT TO ACCESSORY DWELLING UNI",2019-08-13,25000.0,324.0,,0.0,RS-1,2033008001,2033008001,Residential,Single Family Residence,2018-03-06,4.0,3.0,1,"588,908.00"
196,CONVER DETACHED GARAGE TO ADU PER AB 494 AND SB 229 USING WOOD FRAME P,2019-03-14,10000.0,410.0,,1.0,R1-1,4215029007,4215029007,Residential,Single Family Residence,2004-09-01,3.0,1.0,1,"718,487.00"
197,"CONVERT (E) 18'-7"" X 20'-2"") DETACHED GARAGE TO ACCESSORY DWELLING UNI",2019-08-28,20000.0,377.0,,,R1-1-RIO,2130008004,2130008004,Residential,Single Family Residence,2018-07-27,3.0,1.0,1,"616,000.00"
198,CONVERT (E) ATT. GARAGE INTO ADU PER AB 494 AND SB 229. T/O EXISTING F,2018-09-14,30000.0,367.0,0.0,1.0,R1-1-RFA,2571008040,2571008040,Residential,Single Family Residence,2006-08-24,3.0,3.0,2,"692,072.00"
199,CONVERSION OF (E) REC. ROOM TO ACCESSORY DWELLING UNIT PER  AB 494 and,2019-07-02,5000.0,0.0,,0.0,R1-1,2428004042,2428004042,Residential,Single Family Residence,2016-09-02,2.0,2.0,1,"524,197.00"
200,CONVERT THE (E) GARAGE INTO A (N) ADU PER AB 494 AND SB 229 FOR ACCESS,2019-04-18,20000.0,378.0,,0.0,R1-1-CDO,5457018023,5457018023,Residential,"Double, Duplex, or Two Units",2011-09-29,3.0,2.0,2,"422,237.00"
201,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2018-06-14,125000.0,1144.0,,1.0,R2-1,6006010026,6006010026,Residential,Single Family Residence,2018-06-06,2.0,1.0,1,"64,022.00"
202,NEW 1-STORY ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069 USING TYPE,2017-10-06,70200.0,695.0,,1.0,C2-1-SP,5050001006,5050001006,Residential,Single Family Residence,2008-01-03,3.0,1.0,1,"501,727.00"
203,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-03-27,16560.0,360.0,,,R1-1,5014017008,5014017008,Residential,Single Family Residence,2013-11-06,4.0,3.0,1,"141,976.00"
204,NEW 30'X40' ACCESSORY DWELLING UNIT PER AB 494 SB 229,2018-06-05,150000.0,1131.0,,1.0,RS-1,2680010020,2680010020,Residential,Single Family Residence,2018-03-27,7.0,4.0,2,"530,400.00"
205,CONVERT GARAGE TO ADU PER AB2299 AND SB1069; ADD 166 SF FOR (N) BEDROO,2017-07-06,40000.0,497.0,,0.0,R1-1,2347001014,2347001014,Residential,Single Family Residence,2017-12-01,3.0,2.0,1,"614,981.00"
206,SUPPLEMENTAL TO 18010-20000-02747 TO REVISE ACCESSORY DWELLING UNIT LO,2018-10-15,501.0,,,,RA-1-H,2708025002,2708025002,Residential,Single Family Residence,2013-11-08,4.0,4.0,1,"736,269.00"
207,30' X 40' (1)-STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2018-06-05,150000.0,1131.0,,1.0,R1-1XL-RFA,2695006008,2695006008,Residential,Single Family Residence,2018-01-31,2.0,1.0,1,"560,898.00"
208,"CONVERT (E) 18'-4"" X 19'-6"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2020-05-04,22000.0,360.0,,0.0,R1-1,5034016016,5034016016,Residential,Single Family Residence,2014-06-06,3.0,3.0,1,"301,098.00"
209,CONVERT (E) GARAGE TO ADU PER AB2299 &SB1069; NEW BATHROOM; NEW KITCHE,2017-07-26,25000.0,431.0,,0.0,R1V2,4248026040,4248026040,(missing),(missing),2016-06-06,2.0,3.0,1,"1,856,888.00"
210,CONVERSION OF EXISTING GARAGE TO ACCESSORY DWELLING UNIT PER SB 229 AN,2018-12-26,38000.0,0.0,,0.0,R1-1,2203009012,2203009012,Residential,Single Family Residence,2018-07-20,4.0,2.0,1,"511,000.00"
211,"CONVERT 21' 3"" X 21' 2"" PORTION OF (E) SFD TO JUNIOR ADU. ALL WORK DON",2020-05-15,7000.0,,0.0,,RS-1,2668006032,2668006032,Residential,Single Family Residence,2015-12-18,5.0,2.0,1,"552,463.00"
212,"CONVERT 19'-6"" X 20' DETACHED GARAGE TO  ACCESSORY DWELLING UNIT PER A",2019-11-27,20000.0,351.0,,0.0,R1-1-RIO,2265016017,2265016017,Residential,Single Family Residence,2000-03-31,3.0,2.0,1,"347,881.00"
213,CONVERT (E) ATT. GARAGE TO ADU PER AB 494 AND SB 229,2019-08-16,25000.0,480.0,0.0,0.0,RS-1-CUGU,2536023024,2536023024,Residential,Single Family Residence,2006-06-06,3.0,2.0,1,"527,000.00"
214,"CONVERT (E) 18'-3""X20' ATT. GARAGE TO ACCESSORY DWELLING UNIT PER AB 2",2018-02-26,17000.0,1656.0,0.0,0.0,RS-1,2634013019,2634013019,Residential,Single Family Residence,1996-06-11,5.0,3.0,2,"253,986.00"
215,"(N) 23'0""X23'10"" ADU ADDITION TO (E) GARAGE PER AB494 AND SB229",2019-06-18,40000.0,502.0,,1.0,R2-1XL,5430021008,5430021008,Residential,Single Family Residence,2017-02-07,4.0,2.0,1,"286,519.00"
216,CONVERT (E) 20'x20' GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494,2019-04-12,20000.0,400.0,,0.0,[Q]R1-1D,5302024018,5302024018,Residential,Single Family Residence,2006-05-03,2.0,1.0,1,"39,718.00"
217,"CONVERT ATTACHED 19' 1"" X 20' (E) 2-CAR GARAGE TO ACCESSORY DWELLING U",2019-11-12,20000.0,2340.0,0.0,1.0,RA-1,2161011006,2161011006,Residential,Single Family Residence,2018-12-21,3.0,2.0,1,"564,355.00"
218,Addition of accessory dwelling unit to (E) garage. Per AB494 and SB22,2019-11-26,120000.0,1200.0,,2.0,RD2-1,6088020003,6088020003,Residential,Single Family Residence,2018-12-17,4.0,2.0,1,"80,773.00"
219,Convert (e) garage into ADU per AB494 and SB229.,2018-06-19,30000.0,462.0,,1.0,R1V2,4258001044,4258001044,Residential,Single Family Residence,2012-09-28,3.0,2.0,1,"828,119.00"
220,Convert Detached Rec. Room/Garage to Accessory Dwelling Unit per AB 22,2017-12-06,20000.0,665.0,,1.0,R1V2,4235008009,4235008009,Residential,Single Family Residence,2008-08-27,3.0,2.0,2,"428,925.00"
